ClusterID,SeedHash
0,dd26af422509205ce3760205b30051ce4908a8f3
1,336aa008fe6adc9c9b5d60fe7539ae6155d4ba91
2,0aba6ff941086bfed21cefb860d80d1e9c826054
4,75b26e81e255954f904f8660c356e909dda203c2
5,65ff1ae6dcc096b989d9ccba7360af13002eca06
10,41fd348e85c93264aec1b714b36a39e1917722e8
7,23f13ad07376e69b56aac08c14dd85067b1335e9
8,d2ddbdfbcb4f7a2e075811e39003d0f323058d85
9,3077724b05e037ce5a1549b6d2eb12576a66fe01
11,e450409febafe9ba4ff4fe982b39e847a3d5c09a
12,1e29f3787e51f00091b1e92b071076ba9336a531
14,ef3abd8b05b0504df8ff846b69ca2abc2723a837
15,9f7c1455306801d7766d44806be41d0bd7eec366
16,1157ce39bf9f24ea7eb0090e9382313cfacfc293
24,15181782d37d92c3387901c4ef502bb19ea52db6
31,3ba36702190a5e7091ff49ab46bd3a6a48f86d88
