Filename,Cluster
0003d8042140a4a20c783dcf6f77d7adf9ccfe09,0
0004d543a11e46f47735f4dd10ffca911c0dca67,1
000f6db6997c831dc0e03a84036d4887bf7c9105,2
000ffc01f138f31f3b301becd0ab426e0715ae02,3
001f99a4b24960c46c9db3dcca0e451d681b90a5,4
0021f8fe7c21853cc9682787a4010a707c44b6f0,5
0025e0aa294bb2a01fad5be689de54294fa20f66,14
002cf9d202aeaf3b83efca1e754172ecc647cf8f,3
003160f4b28df85e62e0e14aa0b85e8b24a2eae0,7
0032e63fbd87a4c1b41340918c57db64d9c789f6,1
0033ccef0684b0670751d09c8c68edbfc84b9e84,1
003a068f2b6faeda834fa8d99496a934036a9557,8
003a6b25c911dbcd31c2d62ae46c37f86462bf72,8
0047902bde59a1f8a1e061868f115a31b099a7b1,9
004cbcd9abd7bf8457323e58d502c57beca7fed7,7
0052e6457c33e12edc3dc2259cd487e107d17c59,14
005638901e2ace05b7f9529e7724131667085084,10
00570fd0e884eb4666935bc6e54275fde14185a2,11
0058bbb843a447250ba4185a5589450a691b8324,12
005c57c8998d65b115b9bc9d884e995be78c107e,0
005dad17d0299f5b31c2c8f92ba6438946650e0e,12
005e4d5a2744f3e16e4707b512bbfc9be8449f3b,12
0061a1fb1bb83d8da3359c607ffc3bd035a691f5,4
0062748e03c25c22f1503c3a279c0d3d629b29f5,10
00632b69a49422ee5cf562db68ec6bc301540354,1
00652db742c3dd9844540b367b821ad030a1450a,9
006b030571bbeef3b20cb03e3d6587ff2a1ab32c,12
006b0c7db16b4109121b83438efa8cb727f4934e,3
006b8b785103736f76c6a145e3b5e73c68628d36,10
006b9785e62af76814e13592e3b1305515ca054a,1
006fdb5aa63b963ad94f8f7658e39fd197e2b69b,10
006fdf7a65d7b238d240b3ccb34c781a2f9343b2,14
0076185c57663c4371f79a28a970a3f460ba15c2,13
00785a1717ca64faef2122b5055c10360d279f9d,14
007c20f292d41f36d84e1c97fc1bb8a89bddb803,0
007e08d4fe1dd141d4540f30d135eb4fc1d21253,0
008010e9481403bb4fad409875ace5ad0b6cb926,14
0080642e4b4cc9348c4e5eada005eb0f4c853315,7
00806ff40f5ebe0d5cede1576514b2458b7540d9,8
0081e2a5a95e385157d4dfa59173a2faf5c243f7,8
00826d94b785e8ee913c59cb92c75adf5d4e1ca1,7
00844776953c720bb73b2df8a24d1b82cdc3c8c5,3
0084be236a5be8bdd7fce22788e14062cd256c56,9
0085e52790d7aa45915b15c8f762e8914d04d7e6,6
008dbe713d85cca02a791930c4730a48f3e41d21,7
00923ae959876fa8a04d4d03048055d11c237b2f,0
00957fd04220f1e9451cbb3337effa7cf5c7f59d,13
009600b4ef3fd93daa150e4b582e9c8c975301ed,9
009b72d7a0dd13b538791d80aee949c4de26050d,0
00a100a38374942368b64b4db573fb882c03af35,7
00a1727cbf3f7edb3ddd29a5a9fb8c6d00d573b8,12
00a4bfd472c67e9f21fbdae746422d3d9311eb1c,9
00a908f6d57ebfd635d69323a87ea39d19b1abf2,5
00b02d912863fec26fccf45ce9091dc42b5ad57e,14
00b0c1063fe475a89ee922503dd4451b942aef07,14
00b1cb8b3b431571ec3571b9bd7d2d1f1e81e166,8
00b383efeeac58110cf43755d1a3bc12be690fc3,9
00b58e49f58ab4dadc98c22ee9f9d95602f39dc2,10
00b70c71be04ffaddb05f31826e02621606e396d,1
00bd38037e5323323af729ba04263493e0beb4e3,9
00be8e85648d12780790cb8353f8de6026a0f2b5,10
00bfcec6fa4788ffe9829b6818f9772aa2832174,12
00c54d679b4ef5820a64e930b2a3b73e240f3cab,0
00c6709ab0e6e96b7f970ea7bde1958e544f9caa,13
00cd4a9cbc1b880882a0c9d4161482ad98aaf571,14
00cf4d6ae9c0c13f62d609d0aa752309ea98a8ae,10
00d34be8f114b0e1d854ce0b8fa459b517f5ece1,7
00da62635bb41110df0e4065d42d3b524e3b955e,5
00dfd9c390b58eb79eca2d56b16fc951342cbc27,13
00e3f84b9364ad83e25762cd18908f4bbb0f4fdb,0
00e9be50d42ac115f4a9c234df99ca8651a6f8cf,1
00eae32fa6801aac0accab09fe0a2d3a95217374,8
00ebec4b352449a4ec109254acda4490fc647eac,11
00eca7868ad3412115ecb5273900683a81286258,12
00f13ec99a3325bca50e0b4be858af48217f8cf9,3
00f20bcff2b9bef9d4db5278b4dc18d7a57b6706,12
00f82966cca48b61f237a0bc63ccacbc6d0a7692,6
00fb3b80215bfabcedbac5aa2148df6e437f6166,0
00ff67209fed4f8060a53ca6551e544220c76c7f,13
0104285ed052123938f4cead68135352635c34bf,9
0105481747c122f9ad7f9ffa4a9521236bba35f5,14
0109cee53b361e6cf99fb645c2e3363d0b4a41e2,14
0110977f54467b2640fc7fdbd9a67f211765f168,1
011164bfcf910e7b662f64bfd693cc2173add4a0,7
011216acc4c4a86f426582e913fa5c48cd21bceb,14
01131433c93cd2652bcbe8336838b0bcaa53d366,12
01185d3d70c1ba9874e9431c0e96d4a0d6f56339,14
011fffbabfab5d41b9eea0a3a5ce0b22b8268a75,7
0122221bc492d725f47cb84360ce4f2922180f91,7
01232eff520774d8cb996480bbd094a96001e66c,3
01236299f82a9427679dab08154684e621de4b13,2
012d08321fe773d59fb1edc4c4e328da4559a291,9
012e4fd52bd4447af7b11cdfdd37a7b41b9cf0c4,12
013346001ffaecb7ecd1f48920c5eed6adbd4ec3,14
01341cee0a689b7172d3a8c89c421398c4b2a968,1
013490b82d46b016ccea28cc65bc25b3fb8e6627,7
013828b115f4e0464ae8dd8f15d00ca4ee552507,7
013844243ba76fec939df61c07068d8662a2d9b3,8
