Timestamp,Cover
2025-5-6 20:00,272099
2025-5-6 21:00,314576
2025-5-6 22:00,332848
2025-5-6 23:00,338001
2025-5-7 0:00,347166
2025-5-7 1:00,353299
2025-5-7 2:00,356025
2025-5-7 3:00,359437
2025-5-7 4:00,363317
2025-5-7 5:00,366161
2025-5-7 6:00,368586
2025-5-7 7:00,370556
2025-5-7 8:00,372377
2025-5-7 9:00,374544
2025-5-7 10:00,375559
2025-5-7 11:00,377368
2025-5-7 12:00,378613
2025-5-7 13:00,379703
2025-5-7 14:00,380876
2025-5-7 15:00,382068
2025-5-7 16:00,383516
2025-5-7 17:00,384825
2025-5-7 18:00,385425
2025-5-7 19:00,387384
2025-5-7 20:00,387737
2025-5-7 21:00,388515
2025-5-7 22:00,389354
2025-5-7 23:00,389942
2025-5-8 0:00,390417
2025-5-8 1:00,391663
2025-5-8 2:00,392890
2025-5-8 3:00,393985
2025-5-8 4:00,395145
2025-5-8 5:00,395790
2025-5-8 6:00,396626
2025-5-8 7:00,397525
2025-5-8 8:00,398360
2025-5-8 9:00,398936
2025-5-8 10:00,399714
2025-5-8 11:00,400262
2025-5-8 12:00,400777
2025-5-8 13:00,401195
2025-5-8 14:00,401939
2025-5-8 15:00,402510
2025-5-8 16:00,403163
2025-5-8 17:00,403558
2025-5-8 18:00,404109
2025-5-8 19:00,404616
2025-5-8 20:00,405164
2025-5-8 21:00,405705
2025-5-8 22:00,407102
2025-5-8 23:00,407864
2025-5-9 0:00,408696
2025-5-9 1:00,409594
2025-5-9 2:00,410317
2025-5-9 3:00,411011
2025-5-9 4:00,411623
2025-5-9 5:00,412446
2025-5-9 6:00,413012
2025-5-9 7:00,415638
2025-5-9 8:00,416183
2025-5-9 9:00,416746
2025-5-9 10:00,417194
2025-5-9 11:00,418301
2025-5-9 12:00,418817
2025-5-9 13:00,419401
2025-5-9 14:00,420491
2025-5-9 15:00,421262
2025-5-9 16:00,421609
2025-5-9 17:00,422222
2025-5-9 18:00,422918
2025-5-9 19:00,423507
